City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Itoman,JP,78.8,light intensity shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
5,Rikitea,PF,73.54,scattered clouds,-23.12,-134.97,Pension Maro'i
12,Saint-Pierre,RE,75.2,scattered clouds,-21.34,55.48,Lindsey Hôtel
13,Kapaa,US,77.23,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
14,Pangkalanbuun,ID,76.51,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
17,Castro,BR,78.49,clear sky,-24.79,-50.01,CHACARA BAILLY
20,Avarua,CK,73.4,light intensity drizzle,-21.21,-159.78,Paradise Inn
21,Wajima,JP,65.14,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
22,Faanui,PF,77.9,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Ilam,NP,60.69,few clouds,26.92,87.92,Chiyabari Cottage
26,Katsuura,JP,62.01,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
27,Alofi,NU,71.6,light rain,-19.06,-169.92,Taloa Heights
28,Yulara,AU,77.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
30,Filadelfia,US,62.6,mist,39.95,-75.16,Loews Philadelphia Hotel
31,Torrington,US,64.0,overcast clouds,41.8,-73.12,The Yankee Pedlar Inn
32,Hilo,US,69.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
35,Igualada,ES,73.99,few clouds,41.58,1.62,América
43,Tibati,CM,78.82,clear sky,6.47,12.63,Tibati Hotel
44,Tautira,PF,73.4,few clouds,-17.73,-149.15,Pension Oaoa
45,Nishihara,JP,78.8,light intensity shower rain,26.18,127.76,Minshuku Agaihama
47,Port Elizabeth,ZA,66.2,clear sky,-33.92,25.57,39 On Nile Guest House
49,Pontianak,ID,77.95,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
54,Vila Franca Do Campo,PT,62.6,shower rain,37.72,-25.43,Pestana Bahia Praia
57,Carnarvon,AU,66.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
58,Constitucion,CL,60.26,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
60,Beloha,MG,74.01,clear sky,-25.17,45.05,
64,Atuona,PF,76.82,broken clouds,-9.8,-139.03,Villa Enata
66,Kahului,US,73.4,clear sky,20.89,-156.47,Maui Seaside Hotel
70,Kimbe,PG,75.74,broken clouds,-5.55,150.14,Kimbe Bay Hotel
73,Lagoa,PT,63.1,scattered clouds,39.05,-27.98,Casa Das Faias
76,Victoria,HK,75.99,light rain,22.29,114.16,Mini Hotel Central
78,Sibolga,ID,77.36,light rain,1.74,98.78,Hotel Syariah CN Darussalam
80,Jamestown,US,64.0,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
86,Hualmay,PE,70.18,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
88,Mayo,US,66.99,mist,38.89,-76.51,Resorts Resource Group International
89,Bambous Virieux,MU,75.99,scattered clouds,-20.34,57.76,Casa Tia Villa
91,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
94,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
96,Guerrero Negro,MX,70.16,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
97,Caravelas,BR,79.54,broken clouds,-17.71,-39.25,Pousada dos Navegantes
98,Albany,US,66.99,broken clouds,42.6,-73.97,
100,Mahanoro,MG,72.28,clear sky,-19.9,48.8,Hôtel Mon Désir
101,Samarai,PG,79.11,light rain,-10.62,150.67,Nuli Sapi
102,Rome,US,73.0,overcast clouds,34.26,-85.16,La Quinta Inn & Suites by Wyndham Rome
104,Hermanus,ZA,66.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
105,Bengkulu,ID,77.27,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
108,Avera,US,78.8,broken clouds,33.19,-82.53,
110,San Juan,AR,76.5,clear sky,-31.54,-68.54,Hotel Provincial
111,Ribeira Grande,PT,64.4,scattered clouds,38.52,-28.7,Quinta da Meia Eira
114,Kampong Chhnang,KH,75.97,overcast clouds,12.17,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
115,Cape Town,ZA,66.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
119,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
121,Kisangani,CD,74.68,light rain,0.52,25.2,Grand Ramela Hotel
124,Saldanha,ZA,61.23,clear sky,-33.01,17.94,Blue Bay Lodge
128,Abu Samrah,SY,73.49,clear sky,35.3,37.18,
134,Port Alfred,ZA,67.39,clear sky,-33.59,26.89,The Halyards Hotel
137,Iwade,JP,66.2,overcast clouds,34.25,135.32,ホテル エスタシオン
139,Kokopo,PG,77.43,moderate rain,-4.35,152.26,Kokopo Beach Bungalow Resort
144,Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
146,Westport,US,64.99,overcast clouds,41.14,-73.36,The Westport Inn
147,Nizwa,OM,74.66,clear sky,22.93,57.53,Orient Apartments
150,Broome,US,69.01,scattered clouds,42.25,-75.83,Chenango Valley State Park
153,Dayong,CN,77.0,light rain,25.02,118.29,Haiyue Express Hotel
