City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Itoman,JP,26.12,127.67,78.8,88,75,8.05,light intensity shower rain
1,Mehamn,NO,71.04,27.85,32,92,40,8.05,scattered clouds
2,Kodiak,US,57.79,-152.41,39.2,60,1,12.75,clear sky
3,Yarada,IN,17.65,83.27,82.4,94,90,2.24,heavy intensity rain
4,Mataura,NZ,-46.19,168.86,45,77,94,1.99,overcast clouds
5,Rikitea,PF,-23.12,-134.97,73.54,68,40,8.7,scattered clouds
6,Saint-Augustin,CA,51.23,-58.65,44.06,57,1,6.33,clear sky
7,Ilulissat,GL,69.22,-51.1,33.8,59,75,11.41,broken clouds
8,Dengzhou,CN,37.81,120.75,57.72,42,0,17.22,clear sky
9,Busselton,AU,-33.65,115.33,55,64,0,12.17,clear sky
10,Dubrovka,RU,53.69,33.51,39.2,93,75,6.71,broken clouds
11,Norman Wells,CA,65.28,-126.83,23,85,90,14.99,light snow
12,Saint-Pierre,RE,-21.34,55.48,75.2,69,39,13.87,scattered clouds
13,Kapaa,US,22.08,-159.32,77.23,75,0,3.71,clear sky
14,Pangkalanbuun,ID,-2.68,111.62,76.51,94,100,0.31,overcast clouds
15,Nalut,LY,30.33,10.85,83.12,26,0,6.87,clear sky
16,Dukat,RU,62.55,155.55,8.22,92,0,3.78,clear sky
17,Castro,BR,-24.79,-50.01,78.49,50,4,7.25,clear sky
18,Ushuaia,AR,-54.8,-68.3,48.2,49,90,21.92,overcast clouds
19,Punta Arenas,CL,-53.15,-70.92,46.4,49,90,16.11,overcast clouds
20,Avarua,CK,-21.21,-159.78,73.4,88,94,5.82,light intensity drizzle
21,Wajima,JP,37.4,136.9,65.14,61,100,10.67,overcast clouds
22,Faanui,PF,-16.48,-151.75,77.9,77,48,13.56,scattered clouds
23,Kununurra,AU,-15.77,128.73,82.4,78,21,8.05,few clouds
24,Ilam,NP,26.92,87.92,60.69,85,12,4.5,few clouds
25,Port Lincoln,AU,-34.73,135.87,57.13,80,54,15.48,light rain
26,Katsuura,JP,35.13,140.3,62.01,87,75,14.99,broken clouds
27,Alofi,NU,-19.06,-169.92,71.6,100,99,16.11,light rain
28,Yulara,AU,-25.24,130.99,77,44,0,3.36,clear sky
29,Nuuk,GL,64.18,-51.72,32,94,40,3.36,shower rain
30,Filadelfia,US,39.95,-75.16,62.6,93,90,3.36,mist
31,Torrington,US,41.8,-73.12,64,96,92,6.85,overcast clouds
32,Hilo,US,19.73,-155.09,69.8,64,1,8.05,clear sky
33,Yellowknife,CA,62.46,-114.35,21,92,75,9.17,light snow
34,Mar Del Plata,AR,-38,-57.56,55.4,66,0,13.87,clear sky
35,Igualada,ES,41.58,1.62,73.99,62,12,8.01,few clouds
36,Codrington,AU,-38.27,141.97,45.3,91,49,4.94,scattered clouds
37,Kondinskoye,RU,59.65,67.41,31.24,98,100,4.63,overcast clouds
38,Saint Anthony,US,45.02,-93.22,35.6,69,1,12.75,clear sky
39,San Cristobal,VE,7.77,-72.22,87.8,48,40,9.17,scattered clouds
40,Vila Velha,BR,-20.33,-40.29,82.4,69,40,8.05,scattered clouds
41,Bluff,NZ,-46.6,168.33,45,77,99,1.99,overcast clouds
42,Ngunguru,NZ,-35.62,174.5,53.01,93,99,2.8,overcast clouds
43,Tibati,CM,6.47,12.63,78.82,61,3,6.33,clear sky
44,Tautira,PF,-17.73,-149.15,73.4,83,20,2.24,few clouds
45,Nishihara,JP,26.18,127.76,78.8,100,90,10.29,light intensity shower rain
46,Tasiilaq,GL,65.61,-37.64,30.2,86,75,3.36,shower rain
47,Port Elizabeth,ZA,-33.92,25.57,66.2,63,0,13.87,clear sky
48,Chokurdakh,RU,70.63,147.92,8.13,94,83,4.45,broken clouds
49,Pontianak,ID,-0.03,109.33,77.95,89,94,2.08,overcast clouds
50,Pevek,RU,69.7,170.31,30.16,99,100,5.73,overcast clouds
51,Pacific Grove,US,36.62,-121.92,53.6,100,1,4.18,mist
52,Torbay,CA,47.67,-52.73,59,82,75,12.75,broken clouds
53,Yumen,CN,40.28,97.2,40.26,56,0,4.59,clear sky
